Module Name,Test Case Name
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberAlertMessageWhenTheMemberOptOutTheEmailContact
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberDisplayOfSecurityQASectionInAccountSettings
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberFieldsMessagesDisplayedInTheCredentialsSection
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberFieldsMessagesDisplayedInThePreferencesSection
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberFieldsMessagesDisplayedInThePrimaryHealthInformationSection
/Real Appeal/Member/AccountSettings,RA_Member_AcSettings_MemberModifyContactInformation
/Real Appeal/Member/Content_Library,RA_Member_Content_Library_MemberNavigatingToTheSessionContentTab
/Real Appeal/Member/Content_Library,RA_Member_Content_Library_MemberSelectingTheValueFromTheFilter
/Real Appeal/Member/Content_Library,RA_Member_Content_Library_MemberToDisplayTheSessionWiseAssetsUsingTheQuickJumpDropDown
/Real Appeal/Member/Dashboard,RA_Member_Dashboard _ClassroomNotStartedMember
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_ClassroomNotAllocatedMember
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_ClassroomStartedMembers
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberAddDataToCurrentDaysData
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberCalorieBreakdown
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberInitialGoal
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberThreeDayStreak
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_MemberWidgets
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_UnapprovedClassMembers
/Real Appeal/Member/Dashboard,RA_Member_Dashboard_UnScheduledClassMembers
/Real Appeal/Member/Enrollment/Custom Enrollment,RA_Member_CustomEnrollment_MemberChangingInsuranceInfoViaProfile
/Real Appeal/Member/Enrollment/Custom Enrollment,RA_Member_CustomEnrollment_MemberEnrollmentToAClientWithSingleInsuranceCarrierAndMultiplePoliciesCarrierNotDisplayed
